pipe_id,source_node,target_node,pipe_length_m,pipe_diameter_m,pipe_slope,roughness_coefficient,pipe_capacity_lps,data_source
P001,N001,N002,1027.4,0.6,0.004,0.013,388.33,prototype_assumption_manning_calculated
P002,N002,N003,1649.24,0.8,0.004,0.013,836.33,prototype_assumption_manning_calculated
P003,N003,N004,3772.15,1,0.004,0.013,1516.36,prototype_assumption_manning_calculated
P004,N004,N005,1764.2,0.6,0.004,0.013,388.33,prototype_assumption_manning_calculated
P005,N005,N006,3754,0.8,0.004,0.013,836.33,prototype_assumption_manning_calculated
P006,N006,N007,3814.17,1,0.004,0.013,1516.36,prototype_assumption_manning_calculated
P007,N007,N008,884.85,0.6,0.004,0.013,388.33,prototype_assumption_manning_calculated
P008,N008,N009,2803.81,0.8,0.004,0.013,836.33,prototype_assumption_manning_calculated
P009,N009,N010,3114.54,1,0.004,0.013,1516.36,prototype_assumption_manning_calculated
P010,N010,N011,2298.65,0.6,0.004,0.013,388.33,prototype_assumption_manning_calculated
P011,N011,N012,734.21,0.8,0.004,0.013,836.33,prototype_assumption_manning_calculated
P012,N012,N013,971.1,1,0.004,0.013,1516.36,prototype_assumption_manning_calculated
P013,N013,N014,1813.57,0.6,0.004,0.013,388.33,prototype_assumption_manning_calculated
P014,N014,N015,508.92,0.8,0.004,0.013,836.33,prototype_assumption_manning_calculated
P015,N015,N016,1407.17,1,0.004,0.013,1516.36,prototype_assumption_manning_calculated
P016,N016,N017,1227.36,0.6,0.004,0.013,388.33,prototype_assumption_manning_calculated
P017,N017,N018,1157.4,0.8,0.004,0.013,836.33,prototype_assumption_manning_calculated
P018,N018,N019,314.77,1,0.004,0.013,1516.36,prototype_assumption_manning_calculated
P019,N019,N020,850,0.6,0.004,0.013,388.33,prototype_assumption_manning_calculated
