node_id,location_name,nearest_road_distance_m,nearest_road_latitude,nearest_road_longitude
N001,Velachery Vijaya Nagar,26.6,12.9786073,80.221335
N002,Tansi Nagar,4.9,12.9774218,80.2234731
N003,Velachery,48.2,12.96773,80.2196157
N004,Dhandeeswaram,4.2,12.9829619,80.2220043
N005,Velachery Main Road,9.6,12.980084,80.2228516
N006,Velachery Railway Station,48.2,12.96773,80.2196157
N007,Ram Nagar,0.0,12.9652732,80.2071039
N008,Tansi Nagar Bus Stop,0.3,12.9785526,80.2253585
N009,Velachery Vijayanagar Bus Terminus,5.6,12.9759146,80.2211017
N010,Vijaynagar Area,5.2,12.9759159,80.221103
N011,Velachery Lake,2.9,12.9857663,80.2207388
N012,Ram Nagar,21.8,12.9655486,80.2118459
N013,Sadasiva Nagar,25.7,12.9653596,80.2028626
N014,Andal Nagar,0.0,12.9810098,80.2066688
N015,Subramanya Temple,8.8,12.9852012,80.2049617
N016,Guruvayurappan temple,0.0,12.9835214,80.1921145
N017,Vinayaka Temple,7.9,12.9893833,80.2017827
N018,Velachery Railway Station Area,48.1,12.9677301,80.2196142
N019,Dhandeeswaram Extension,5.2,12.9828925,80.2219675
N020,Vijayanagar Velachery,5.6,12.9759146,80.2211017
