node_id,elevation_m,slope_percent,flow_direction_deg,flow_accumulation_cells,low_area_flag,data_source
N001,14.59,1.84,350.54,7235,0,derived_copernicus_dem
N002,16.96,2.97,233.31,4860,0,derived_copernicus_dem
N003,8.84,3.32,92.74,12988,0,derived_copernicus_dem
N004,9.81,1.45,152.4,12020,0,derived_copernicus_dem
N005,4.75,0.3,212.67,17071,0,derived_copernicus_dem
N006,6.45,1.64,295.02,15371,0,derived_copernicus_dem
N007,5.55,0.67,180.1,16273,0,derived_copernicus_dem
N008,9.84,1.48,211.79,11989,0,derived_copernicus_dem
N009,17.15,2.16,4.01,4671,0,derived_copernicus_dem
N010,5.74,0.92,239.25,16088,0,derived_copernicus_dem
N011,4.75,1.05,186.27,17075,0,derived_copernicus_dem
N012,11.17,0.73,49.17,10656,0,derived_copernicus_dem
N013,9.98,2.06,152.63,11848,0,derived_copernicus_dem
N014,9.15,1.17,25.23,12672,0,derived_copernicus_dem
N015,13.48,1.07,188.69,8344,0,derived_copernicus_dem
N016,11.27,1.54,78.66,10556,0,derived_copernicus_dem
N017,11.12,3.5,170.62,10706,0,derived_copernicus_dem
N018,8.89,2.31,165.3,12933,0,derived_copernicus_dem
N019,10,0.5,180,18000,1,prototype_normalized_dem
N020,5,1.2,180,16500,1,prototype_normalized_dem
