node_id,latitude,longitude,elevation_m,slope_percent,flow_direction_code,flow_accumulation_cells,low_area_flag,data_source
N001,12.978625,80.22158,11.947,1.479,128,1.0,0,uploaded_copernicus_dem_derived
N002,12.97746,80.22345,8.995,0.926,128,1.0,0,uploaded_copernicus_dem_derived
N003,12.9672994,80.2195714,8.2,0.432,8,1.0,0,uploaded_copernicus_dem_derived
N004,12.98298,80.22197,9.574,1.298,32,1.0,0,uploaded_copernicus_dem_derived
N005,12.98017,80.22285,11.572,1.704,2,1.0,0,uploaded_copernicus_dem_derived
N006,12.9672994,80.2195714,8.2,0.432,8,1.0,0,uploaded_copernicus_dem_derived
N007,12.9652732,80.2071039,17.976,1.437,32,1.0,0,uploaded_copernicus_dem_derived
N008,12.97855,80.22536,9.143,0.166,32,1.0,0,uploaded_copernicus_dem_derived
N009,12.975951,80.2210664,10.035,0.996,128,1.0,0,uploaded_copernicus_dem_derived
N010,12.97595,80.22107,10.035,0.996,128,1.0,0,uploaded_copernicus_dem_derived
N011,12.98579,80.22075,8.986,1.202,8,1.0,0,uploaded_copernicus_dem_derived
N012,12.9653558,80.2118131,14.634,1.317,32,1.0,0,uploaded_copernicus_dem_derived
N013,12.9651292,80.2028543,17.781,1.399,16,3.0,0,uploaded_copernicus_dem_derived
N014,12.9810098,80.2066688,14.468,1.728,128,1.0,0,uploaded_copernicus_dem_derived
N015,12.9852789,80.2049757,11.675,1.112,16,1.0,0,uploaded_copernicus_dem_derived
N016,12.9835214,80.1921145,12.17,0.675,1,1.0,0,uploaded_copernicus_dem_derived
N017,12.9893877,80.2017099,11.268,0.415,8,1.0,0,uploaded_copernicus_dem_derived
N018,12.9673,80.21957,8.2,0.432,8,1.0,0,uploaded_copernicus_dem_derived
N019,12.98287,80.22201,9.574,1.298,32,1.0,0,uploaded_copernicus_dem_derived
N020,12.975951,80.2210664,10.035,0.996,128,1.0,0,uploaded_copernicus_dem_derived
