road_id,name,highway,lanes,maxspeed,surface,oneway,bridge,tunnel,osm_id,length_m,geometry_wkt
1,Velachery Bypass Road,primary,2,50,asphalt,yes,,,way/22688386,466.45,"LINESTRING (80.2196271 12.9914386, 80.2195551 12.9913215, 80.2192915 12.9905341, 80.2191001 12.9900216, 80.2189178 12.9895322, 80.2187315 12.9890468, 80.2185724 12.9885725, 80.2185055 12.9883073, 80.2184435 12.9879886, 80.2183524 12.9874273)"
2,RajaLaxmi Nagar 3rd Main Road,tertiary,2,,asphalt,,,,way/23079581,126.35,"LINESTRING (80.217938 12.9842224, 80.2185792 12.9843056, 80.2187995 12.9843314, 80.218905 12.9843438, 80.2189374 12.9843476, 80.219046 12.9843603, 80.2190934 12.9843659)"
3,Sabari Salai,secondary,,40,asphalt,no,,,way/23227994,521.09,"LINESTRING (80.1914144 12.9654063, 80.1915804 12.9653705, 80.1916717 12.9653567, 80.192765 12.9651246, 80.192895 12.9651357, 80.1930928 12.9651365, 80.1932712 12.9651208, 80.1935116 12.9650946, 80.1940099 12.9649849, 80.1948869 12.9647829, 80.1949409 12.9647764, 80.1950267 12.9648228, 80.1951179 12.9648254, 80.195248 12.9648059, 80.1961207 12.964658)"
4,Lakeview Street,tertiary,,,,,,,way/25504312,405.44,"LINESTRING (80.1985794 12.9915007, 80.1986614 12.9914752, 80.1994991 12.9911157, 80.2001288 12.9908129, 80.2002242 12.990724, 80.2004867 12.9904333, 80.2007045 12.9902435, 80.2009962 12.9901041, 80.2012493 12.9899836, 80.201518 12.9899032, 80.2016592 12.9898244, 80.2018045 12.9897433)"
5,Masthan Gori Road,residential,,,,,,,way/25504441,322.15,"LINESTRING (80.20266957714385 12.9924, 80.2026415 12.9921734, 80.2026418 12.9921029, 80.2026436 12.9917285, 80.2026431 12.9917043, 80.2026372 12.9914273, 80.2026335 12.9912547, 80.2025973 12.9909693, 80.2025333 12.9902239, 80.2025241 12.9901123, 80.2024923 12.9897524, 80.2024739 12.989497)"
6,West Karikalan Street,residential,,,,,,,way/25504467,348.62,"LINESTRING (80.1988838 12.9922217, 80.1983434 12.9922984, 80.1982468 12.992309, 80.1977887 12.992359, 80.1973828 12.9923877, 80.1968929 12.9923784, 80.1964766 12.9923131, 80.1960197 12.9922588, 80.1956929 12.9922102)"
7,Nanganallur 1st Main Road,tertiary,,,asphalt,no,,,way/25552951,716.26,"LINESTRING (80.1891 12.982991884678846, 80.189465 12.9829864, 80.1900741 12.9829633, 80.1902943 12.982953, 80.1909052 12.9829245, 80.1920289 12.9828515, 80.1924205 12.9827848, 80.1927556 12.9827267, 80.1931421 12.9826464, 80.1935473 12.9825533, 80.1938674 12.9824786, 80.193961 12.9824313, 80.1940745 12.9822011, 80.1946212 12.9816924, 80.194813 12.9815509, 80.1948803 12.9815154, 80.1949583 12.9814809, 80.1950376 12.9814722, 80.1951201 12.9814755, 80.195227 12.9814808)"
8,Nanganallur 100ft Road,residential,,,asphalt,,,,way/25553310,263.1,"LINESTRING (80.1911932 12.975427, 80.1904302 12.9758802, 80.1896456 12.9763167, 80.1893527 12.9764882, 80.1891 12.976627259763315)"
9,Kakkan Nagar Main Road,tertiary,,,,,,,way/25556182,443.5,"LINESTRING (80.20600525758898 12.9924, 80.2058473 12.9919874, 80.2058126 12.9919179, 80.2055741 12.9914413, 80.2052312 12.9905523, 80.2051628 12.9903304, 80.2049944 12.9894652, 80.2048999 12.9891277, 80.2048546 12.9889661, 80.2048306 12.9885877)"
10,Madipakkam Main Road,residential,,,,no,,,way/25561949,757.91,"LINESTRING (80.1899181 12.9690131, 80.1909282 12.9687151, 80.1914592 12.9685655, 80.1916274 12.9685121, 80.1920509 12.9684122, 80.1922207 12.9683719, 80.1926786 12.9682775, 80.1930615 12.9681903, 80.1936371 12.9680625, 80.1941148 12.9679483, 80.1941422 12.9679417, 80.1941691 12.9679287, 80.1941832 12.9679169, 80.1941905 12.9678973, 80.1941952 12.9678803, 80.1941925 12.9678509, 80.1941779 12.9677225, 80.1941449 12.9674327, 80.1941449 12.9674144, 80.1941549 12.9673961, 80.194167 12.9673837, 80.1941825 12.9673713, 80.1947011 12.9672861, 80.196145 12.9670161)"
