timestamp,node_id,water_depth_cm,flow_capacity_ratio,accumulation_rate,blockage_status,blockage_risk,flood_severity
2025-01-01 00:00:00,N001,2.4728,1.205,0.0,Normal,Low,Low
2025-01-01 00:00:00,N002,3.97814,1.436,0.0,Normal,Low,Low
2025-01-01 00:00:00,N003,1.07172,1.063,0.0,Normal,Low,Low
2025-01-01 00:00:00,N004,4.6232999999999995,1.401,0.0,Normal,Low,Low
2025-01-01 00:00:00,N005,2.49424,1.239,0.0,Normal,Low,Low
2025-01-01 00:00:00,N006,3.4629,1.356,0.0,Normal,Low,Low
2025-01-01 00:00:00,N007,19.640068641341017,0.4122705574681649,5.772,Severe_Blockage,High,High
2025-01-01 00:00:00,N008,1.84098,1.13,0.0,Normal,Low,Low
2025-01-01 00:00:00,N009,5.24288,1.507,0.0,Normal,Low,Moderate
2025-01-01 00:00:00,N010,3.34482,1.427,0.0,Normal,Low,Low
2025-01-01 00:00:00,N011,3.0528,1.279,0.0,Normal,Low,Low
2025-01-01 00:00:00,N012,22.10499496648405,0.5815328376644774,4.625,Severe_Blockage,High,High
2025-01-01 00:00:00,N013,3.7154400000000005,1.241,0.0,Normal,Low,Low
2025-01-01 00:00:00,N014,3.7207599999999994,1.418,0.0,Normal,Low,Low
2025-01-01 00:00:00,N015,5.671320000000001,1.41,0.0,Normal,Low,Moderate
2025-01-01 00:00:00,N016,4.508,1.338,0.0,Normal,Low,Low
2025-01-01 00:00:00,N017,32.33724082356984,0.3323301904089719,10.795,Severe_Blockage,Critical,Critical
2025-01-01 00:00:00,N018,2.8463999999999996,1.23,0.0,Normal,Low,Low
2025-01-01 00:00:00,N019,1.0233999999999999,1.057,0.0,Normal,Low,Low
2025-01-01 00:00:00,N020,8.805315576419307,0.5780376649271299,1.858,Severe_Blockage,High,Moderate
2025-01-01 01:00:00,N001,5.2184,1.487,0.0,Normal,Low,Moderate
2025-01-01 01:00:00,N002,5.037780000000001,1.461,0.0,Normal,Low,Moderate
2025-01-01 01:00:00,N003,4.84564,1.495,0.0,Normal,Low,Low
2025-01-01 01:00:00,N004,4.23102,1.338,0.0,Normal,Low,Low
2025-01-01 01:00:00,N005,15.251532756280124,0.5577587645341554,3.372,Severe_Blockage,High,High
2025-01-01 01:00:00,N006,2.5122999999999998,1.158,0.0,Normal,Low,Low
2025-01-01 01:00:00,N007,3.20112,1.252,0.0,Normal,Low,Low
2025-01-01 01:00:00,N008,4.3761,1.285,0.0,Normal,Low,Low
2025-01-01 01:00:00,N009,3.0822399999999996,1.246,0.0,Normal,Low,Low
2025-01-01 01:00:00,N010,4.04296,1.38,0.0,Normal,Low,Low
2025-01-01 01:00:00,N011,18.64546848760443,0.5637097764067449,4.067,Severe_Blockage,High,High
2025-01-01 01:00:00,N012,4.3659,1.431,0.0,Normal,Low,Low
2025-01-01 01:00:00,N013,19.55235738287964,0.486317469314333,5.022,Severe_Blockage,High,High
2025-01-01 01:00:00,N014,3.3531399999999993,1.232,0.0,Normal,Low,Low
2025-01-01 01:00:00,N015,39.520696377730914,0.3864281884457731,12.124,Severe_Blockage,Critical,Critical
2025-01-01 01:00:00,N016,1.4834999999999998,1.101,0.0,Normal,Low,Low
2025-01-01 01:00:00,N017,4.97568,1.396,0.0,Normal,Low,Low
2025-01-01 01:00:00,N018,19.131805729355946,0.49607739368131204,4.82,Severe_Blockage,High,High
2025-01-01 01:00:00,N019,2.44412,1.162,0.0,Normal,Low,Low
2025-01-01 01:00:00,N020,1.1608999999999998,1.062,0.0,Normal,Low,Low
2025-01-01 02:00:00,N001,2.7544,1.514,0.0,Normal,Low,Low
2025-01-01 02:00:00,N002,2.66706,1.248,0.0,Normal,Low,Low
2025-01-01 02:00:00,N003,2.67472,1.254,0.0,Normal,Low,Low
2025-01-01 02:00:00,N004,4.11894,1.384,0.0,Normal,Low,Low
2025-01-01 02:00:00,N005,2.31336,1.152,0.0,Normal,Low,Low
2025-01-01 02:00:00,N006,2.6771999999999996,1.19,0.0,Normal,Low,Low
2025-01-01 02:00:00,N007,1.6499599999999999,1.11,0.0,Normal,Low,Low
2025-01-01 02:00:00,N008,6.3881,1.417,0.0,Normal,Low,Moderate
2025-01-01 02:00:00,N009,28.356141903546064,0.3651183665633577,9.001,Severe_Blockage,Critical,Critical
2025-01-01 02:00:00,N010,3.9700200000000003,1.394,0.0,Normal,Low,Low
2025-01-01 02:00:00,N011,13.77777810214253,0.683759557102673,2.179,Partial_Blockage,Moderate,Moderate
2025-01-01 02:00:00,N012,5.465460000000001,1.446,0.0,Normal,Low,Moderate
2025-01-01 02:00:00,N013,1.1946400000000001,1.095,0.0,Normal,Low,Low
2025-01-01 02:00:00,N014,2.3728199999999995,1.179,0.0,Normal,Low,Low
2025-01-01 02:00:00,N015,4.9242,1.384,0.0,Normal,Low,Low
2025-01-01 02:00:00,N016,1.7594999999999998,1.088,0.0,Normal,Low,Low
2025-01-01 02:00:00,N017,11.576995901931273,0.5542627810869882,2.58,Severe_Blockage,High,Moderate
2025-01-01 02:00:00,N018,23.136680766135488,0.4847614445281342,5.96,Severe_Blockage,High,High
2025-01-01 02:00:00,N019,6.16448,1.481,0.0,Normal,Low,Moderate
2025-01-01 02:00:00,N020,1.5763800000000001,1.087,0.0,Normal,Low,Low
2025-01-01 03:00:00,N001,4.224,1.433,0.0,Normal,Low,Low
2025-01-01 03:00:00,N002,1.64334,1.166,0.0,Normal,Low,Low
2025-01-01 03:00:00,N003,2.9128800000000004,1.385,0.0,Normal,Low,Low
2025-01-01 03:00:00,N004,20.4983646217767,0.5155119100237024,4.966,Severe_Blockage,High,High
2025-01-01 03:00:00,N005,3.05592,1.219,0.0,Normal,Low,Low
2025-01-01 03:00:00,N006,3.783,1.316,0.0,Normal,Low,Low
2025-01-01 03:00:00,N007,2.8256799999999997,1.303,0.0,Normal,Low,Low
2025-01-01 03:00:00,N008,2.0220599999999997,1.191,0.0,Normal,Low,Low
2025-01-01 03:00:00,N009,14.174346860525928,0.5708181499918422,3.042,Severe_Blockage,High,Moderate
2025-01-01 03:00:00,N010,8.071196733970076,0.6263832949619399,1.508,Partial_Blockage,Moderate,Moderate
2025-01-01 03:00:00,N011,0.795,1.068,0.0,Normal,Low,Low
2025-01-01 03:00:00,N012,4.236540000000001,1.314,0.0,Normal,Low,Low
2025-01-01 03:00:00,N013,14.561403249376706,0.5884938738540055,2.996,Severe_Blockage,High,Moderate
2025-01-01 03:00:00,N014,9.67805421857811,0.7091809706392559,1.407,Partial_Blockage,Moderate,Moderate
2025-01-01 03:00:00,N015,35.60018824713726,0.397575926041393,10.723,Severe_Blockage,Critical,Critical
2025-01-01 03:00:00,N016,2.8405,1.164,0.0,Normal,Low,Low
2025-01-01 03:00:00,N017,0.77088,1.056,0.0,Normal,Low,Low
2025-01-01 03:00:00,N018,12.193549282680344,0.5891419030378655,2.505,Severe_Blockage,High,Moderate
2025-01-01 03:00:00,N019,2.68492,1.161,0.0,Normal,Low,Low
2025-01-01 03:00:00,N020,5.34014,1.354,0.0,Normal,Low,Moderate
2025-01-01 04:00:00,N001,1.2848,1.083,0.0,Normal,Low,Low
2025-01-01 04:00:00,N002,3.37648,1.249,0.0,Normal,Low,Low
2025-01-01 04:00:00,N003,1.9602400000000002,1.125,0.0,Normal,Low,Low
2025-01-01 04:00:00,N004,4.8007599999999995,1.33,0.0,Normal,Low,Low
2025-01-01 04:00:00,N005,4.82664,1.514,0.0,Normal,Low,Low
2025-01-01 04:00:00,N006,3.0166999999999997,1.23,0.0,Normal,Low,Low
2025-01-01 04:00:00,N007,6.46152,1.512,0.0,Normal,Low,Moderate
2025-01-01 04:00:00,N008,3.02806,1.319,0.0,Normal,Low,Low
2025-01-01 04:00:00,N009,5.099520000000001,1.398,0.0,Normal,Low,Moderate
2025-01-01 04:00:00,N010,4.73068,1.479,0.0,Normal,Low,Low
2025-01-01 04:00:00,N011,21.482160402713806,0.5614580849604768,4.71,Severe_Blockage,High,High
2025-01-01 04:00:00,N012,0.9809800000000001,1.061,0.0,Normal,Low,Low
2025-01-01 04:00:00,N013,18.58505627249018,0.43489256991326397,5.251,Severe_Blockage,High,High
2025-01-01 04:00:00,N014,6.483479999999999,1.485,0.0,Normal,Low,Moderate
2025-01-01 04:00:00,N015,6.32788,1.424,0.0,Normal,Low,Moderate
2025-01-01 04:00:00,N016,6.290499999999999,1.38,0.0,Normal,Low,Moderate
2025-01-01 04:00:00,N017,7.019679999999999,1.363,0.0,Normal,Low,Moderate
2025-01-01 04:00:00,N018,2.8463999999999996,1.147,0.0,Normal,Low,Low
2025-01-01 04:00:00,N019,18.375462466939585,0.5862556090416072,3.801,Severe_Blockage,High,High
2025-01-01 04:00:00,N020,3.06722,1.139,0.0,Normal,Low,Low
2025-01-01 05:00:00,N001,4.6112,1.472,0.0,Normal,Low,Low
2025-01-01 05:00:00,N002,12.675664639959463,0.7403736599634904,1.645,Partial_Blockage,Moderate,Moderate
2025-01-01 05:00:00,N003,16.25611169462611,0.46493616643998537,4.349,Severe_Blockage,High,High
2025-01-01 05:00:00,N004,3.5305199999999997,1.506,0.0,Normal,Low,Low
2025-01-01 05:00:00,N005,11.798821862788833,0.5784106193286207,2.487,Severe_Blockage,High,Moderate
2025-01-01 05:00:00,N006,3.1234,1.432,0.0,Normal,Low,Low
2025-01-01 05:00:00,N007,2.67748,1.211,0.0,Normal,Low,Low
2025-01-01 05:00:00,N008,2.35404,1.215,0.0,Normal,Low,Low
2025-01-01 05:00:00,N009,37.724133220064374,0.39690191787289064,11.376,Severe_Blockage,Critical,Critical
2025-01-01 05:00:00,N010,2.7508800000000004,1.306,0.0,Normal,Low,Low
2025-01-01 05:00:00,N011,4.2824,1.342,0.0,Normal,Low,Low
2025-01-01 05:00:00,N012,4.851,1.522,0.0,Normal,Low,Low
2025-01-01 05:00:00,N013,2.0385600000000004,1.164,0.0,Normal,Low,Low
2025-01-01 05:00:00,N014,1.7044199999999998,1.096,0.0,Normal,Low,Low
2025-01-01 05:00:00,N015,5.86376,1.422,0.0,Normal,Low,Moderate
2025-01-01 05:00:00,N016,2.1045,1.122,0.0,Normal,Low,Low
2025-01-01 05:00:00,N017,2.044,1.133,0.0,Normal,Low,Low
2025-01-01 05:00:00,N018,1.28088,1.076,0.0,Normal,Low,Low
2025-01-01 05:00:00,N019,14.88127210048517,0.5946029079053547,3.016,Severe_Blockage,High,Moderate
2025-01-01 05:00:00,N020,1.78412,1.086,0.0,Normal,Low,Low
2025-01-01 06:00:00,N001,1.3552,1.089,0.0,Normal,Low,Low
2025-01-01 06:00:00,N002,4.6875599999999995,1.53,0.0,Normal,Low,Low
2025-01-01 06:00:00,N003,2.6106000000000003,1.217,0.0,Normal,Low,Low
2025-01-01 06:00:00,N004,24.582768731217516,0.50033995320407,6.142,Severe_Blockage,High,High
2025-01-01 06:00:00,N005,1.40896,1.141,0.0,Normal,Low,Low
2025-01-01 06:00:00,N006,1.2513,1.128,0.0,Normal,Low,Low
2025-01-01 06:00:00,N007,2.7466399999999997,1.228,0.0,Normal,Low,Low
2025-01-01 06:00:00,N008,20.959617908338206,0.4183453552310719,6.096,Severe_Blockage,High,High
2025-01-01 06:00:00,N009,1.55648,1.138,0.0,Normal,Low,Low
2025-01-01 06:00:00,N010,4.67858,1.469,0.0,Normal,Low,Low
2025-01-01 06:00:00,N011,24.396529207982255,0.5646608612460915,5.31,Severe_Blockage,High,High
2025-01-01 06:00:00,N012,4.743200000000001,1.483,0.0,Normal,Low,Low
2025-01-01 06:00:00,N013,0.7672,1.071,0.0,Normal,Low,Low
2025-01-01 06:00:00,N014,22.370219123255332,0.4512573604975365,6.138,Severe_Blockage,High,High
2025-01-01 06:00:00,N015,2.64888,1.223,0.0,Normal,Low,Low
2025-01-01 06:00:00,N016,24.311523354664637,0.4486279150786288,6.702,Severe_Blockage,High,High
2025-01-01 06:00:00,N017,3.6558399999999995,1.266,0.0,Normal,Low,Low
2025-01-01 06:00:00,N018,4.459359999999999,1.458,0.0,Normal,Low,Low
2025-01-01 06:00:00,N019,3.35916,1.212,0.0,Normal,Low,Low
2025-01-01 06:00:00,N020,3.62934,1.311,0.0,Normal,Low,Low
2025-01-01 07:00:00,N001,0.9064,1.065,0.0,Normal,Low,Low
2025-01-01 07:00:00,N002,0.72738,1.062,0.0,Normal,Low,Low
2025-01-01 07:00:00,N003,34.4876274423047,0.3839174235082078,10.624,Severe_Blockage,Critical,Critical
2025-01-01 07:00:00,N004,36.03348057938848,0.27357044572884265,13.088,Severe_Blockage,Critical,Critical
2025-01-01 07:00:00,N005,18.307982194647174,0.4327101389342597,5.193,Severe_Blockage,High,High
2025-01-01 07:00:00,N006,1.3774,1.087,0.0,Normal,Low,Low
2025-01-01 07:00:00,N007,39.466805661896615,0.3093682718823541,13.629,Severe_Blockage,Critical,Critical
