pipe_id,source_node,target_node,pipe_diameter_m,manning_capacity_lps,actual_flow_in_lps,flow_capacity_ratio,hydraulic_status,surcharge_risk
P001,N001,N002,0.6,388.33,7.67,0.02,Normal,False
P002,N002,N003,0.8,836.33,7.67,0.009,Normal,False
P003,N003,N004,1.0,1516.36,1600.0,1.055,Overcapacity,True
P004,N004,N005,0.6,388.33,7.67,0.02,Normal,False
P005,N005,N006,0.8,836.33,7.67,0.009,Normal,False
P006,N006,N007,1.0,1516.36,7.67,0.005,Normal,False
P007,N007,N008,0.6,388.33,7.67,0.02,Normal,False
P008,N008,N009,0.8,836.33,7.67,0.009,Normal,False
P009,N009,N010,1.0,1516.36,7.67,0.005,Normal,False
P010,N010,N011,0.6,388.33,420.0,1.082,Overcapacity,True
P011,N011,N012,0.8,836.33,7.67,0.009,Normal,False
P012,N012,N013,1.0,1516.36,7.67,0.005,Normal,False
P013,N013,N014,0.6,388.33,7.67,0.02,Normal,False
P014,N014,N015,0.8,836.33,7.67,0.009,Normal,False
P015,N015,N016,1.0,1516.36,7.67,0.005,Normal,False
P016,N016,N017,0.6,388.33,7.67,0.02,Normal,False
P017,N017,N018,0.8,836.33,7.67,0.009,Normal,False
P018,N018,N019,1.0,1516.36,7.67,0.005,Normal,False
P019,N019,N020,0.6,388.33,9.98,0.026,Normal,False
