drainage_id,from_node,to_node,flow_rate_lps,capacity_lps,water_level_cm,blockage_probability,blockage_status,overflow_risk,backflow_risk
P001,N001,N002,10.03,388.33,3.03,0.0,Normal,Low,False
P002,N002,N003,10.03,836.33,3.03,0.0,Normal,Low,False
P003,N003,N004,10.03,1516.36,3.03,0.0,Normal,Low,False
P004,N004,N005,10.03,388.33,3.03,0.0,Normal,Low,False
P005,N005,N006,10.03,836.33,3.03,0.0,Normal,Low,False
P006,N006,N007,10.03,1516.36,3.03,0.0,Normal,Low,False
P007,N007,N008,10.03,388.33,3.03,1.0,Severe_Blockage,High,True
P008,N008,N009,10.03,836.33,3.03,0.0,Normal,Low,False
P009,N009,N010,10.03,1516.36,3.03,0.0,Normal,Low,False
P010,N010,N011,10.03,388.33,3.03,0.0,Normal,Low,False
P011,N011,N012,10.03,836.33,3.03,0.0,Normal,Low,False
P012,N012,N013,10.03,1516.36,3.03,1.0,Severe_Blockage,High,True
P013,N013,N014,10.03,388.33,3.03,0.0,Normal,Low,False
P014,N014,N015,10.03,836.33,3.03,0.0,Normal,Low,False
P015,N015,N016,10.03,1516.36,3.03,0.0,Normal,Low,False
P016,N016,N017,10.03,388.33,3.03,0.0,Normal,Low,False
P017,N017,N018,10.03,836.33,3.03,0.0,Normal,Low,False
P018,N018,N019,10.03,1516.36,3.03,0.0,Normal,Low,False
P019,N019,N020,13.05,388.33,5.74,0.0,Normal,Low,False
